,Unnamed: 0,struct,comp,E_P0,V_P0,Vf_P0,B0,BP0,c1s,Ncontent,Hcontent
77,77,cf496,Lu8 H18 N4,-0.6548796619967713,9.0343865949029,-4.6011134050971005,89.14158635600185,3.882021784286839,-9.9360544146084,4.0,18.0
78,78,cf1256,Lu8 H14 N2,-0.7749474493824285,10.768312900896277,-3.942832932437057,85.90235896131496,4.120499960581884,-8.03804585565355,2.0,14.0
79,79,cf62,Lu8 H14 N5,-0.8327372690120548,9.477471052895076,-5.240075243401219,73.29170857060959,0.307509279942796,-7.740995032304285,5.0,14.0
80,80,cf805,Lu8 H15 N8,-0.5712598221617818,8.917190465521937,-5.543938566736125,49.9495839705864,25.35589081732052,-6.548461790195217,8.0,15.0
81,81,cf1269,Lu8 H12 N3,-0.8899050872638802,11.78764170574308,-3.630021337735177,88.27704021406223,3.403741151893441,-7.5329132831334755,3.0,12.0
82,82,cf1251,Lu8 H9 N4,-1.0206575555604926,10.838144075428536,-5.806141638857177,130.1450916542906,17.82800169727203,-13.047529955375396,4.0,9.0
83,83,cf491,Lu8 H16 N3,-0.7507965304959927,9.997958985655243,-4.115605829159571,81.01442426562718,4.094275798922692,-8.164222743164627,3.0,16.0
84,84,cf465,Lu8 H13 N8,-0.6316037002428041,9.798120051106988,-5.204121328203355,62.30817230021434,27.520823299822634,-7.620580839465016,8.0,13.0
85,85,cf233,Lu8 H12 N7,-0.7455245804195767,10.741488355563526,-4.580039422214251,64.77143207160834,4.865672118272657,-6.088314903994992,7.0,12.0
86,86,cf91,Lu8 H9 N1,-0.6075830269902427,13.59689917735474,-3.35997582264526,66.0588332412099,4.987257553772131,-4.907084807065261,1.0,9.0
87,87,cf668,Lu8 H12 N8,-0.8799044940491773,10.437321946251036,-4.864463768034676,104.94400245691396,5.364873150252897,-10.167140347123608,8.0,12.0
88,88,cf1431,Lu8 N4 H8,-0.9970580639892432,12.325794783932212,-4.81995521606779,89.188812819185,4.579828044542118,-7.299976812673205,4.0,8.0
89,89,cf1055,Lu8 H9 N4,-0.9144437349916968,13.026096401499212,-3.6181893127865017,85.7224232369227,3.835507647206787,-6.6261739206146535,4.0,9.0
90,90,cf453,Lu8 H13 N2,-0.7225028981237024,11.386054264368504,-3.67709790954454,51.928711982595416,16.221697309691244,-4.892249012902454,2.0,13.0
91,91,cf498,Lu8 N5 H13,-0.7750102228937277,10.74851418119792,-4.28066851110977,61.29397495586584,2.835972267571273,-5.729103493753396,5.0,13.0
92,92,cf53,Lu8 H15,-0.5909805921369495,10.991728748716904,-3.3624016860657044,69.70326774219593,1.679826998801755,-6.358103535132953,0.0,15.0
93,93,cf834,Lu8 N8 H4,-1.368288598379877,12.026642887117433,-6.749857112882566,131.76257571430023,3.846432699645431,-11.031687504139986,8.0,4.0
94,94,cf454,Lu8 H12 N8,-0.7921114374730678,10.810600088836583,-4.491185625449128,53.75309256214554,10.84285281626275,-5.147875601526784,8.0,12.0
95,95,cf1294,Lu8 H11 N4,-0.963986758249002,12.212030946897496,-3.5601429661459822,83.0113220607683,5.812061551458588,-6.883419970013678,4.0,11.0
96,96,cf1260,Lu8 H8 N4,-0.993085409879859,11.573008660542012,-5.572741339457986,85.22171884083507,14.749134317547243,-7.813621028525051,4.0,8.0
97,97,cf1052,Lu8 H13 N3,-0.8556711595659484,10.116844862597148,-4.934040554069516,91.11695971643476,4.3497121329897,-9.08046527853705,3.0,13.0
98,98,cf1436,Lu8 H8 N3,-0.8679261743297837,13.372490554514478,-3.8983647086434177,59.94745276954798,5.005576532620597,-4.528084212338428,3.0,8.0
99,99,cf833,Lu8 N8 H6,-1.0902039284304588,11.089702597487792,-6.581206493421299,77.2336113368677,11.932653505105009,-7.25541495642803,8.0,6.0
100,100,cf54,Lu8 H15 N2,-0.7803550195082789,10.205903234334734,-4.181396765665267,89.53590462569593,4.024281548215336,-8.83755859984125,2.0,15.0
101,101,cf189,Lu8 N7 H5,-1.2667658671540267,13.286783676650591,-5.082028823349407,70.25611752585613,0.77644754603523,-5.295403246846934,7.0,5.0
102,102,cf941,Lu8 H4 N8,-1.3835392559733009,11.3268930583785,-7.449606941621498,140.2962602616292,4.826606326135574,-12.50444241792068,8.0,4.0
103,103,cf384,Lu8 N3 H7,-0.8451907242342713,13.392381908228687,-4.470465313993535,70.64079735686035,5.299968214012629,-5.332619012457393,3.0,7.0
104,104,cf142,Lu8 N6 H7,-1.1489184731970974,10.817557484598158,-6.603275848735176,97.38457942654868,12.450447784061543,-9.4079693409286,6.0,7.0
